timestamp, power.draw [W]
2026/02/22 02:11:19.720, 26.68 W
2026/02/22 02:11:20.720, 26.81 W
2026/02/22 02:11:21.720, 26.77 W
2026/02/22 02:11:22.720, 26.49 W
2026/02/22 02:11:23.720, 26.53 W
2026/02/22 02:11:24.720, 26.65 W
2026/02/22 02:11:25.720, 26.66 W
2026/02/22 02:11:26.721, 26.47 W
2026/02/22 02:11:27.721, 26.28 W
2026/02/22 02:11:28.721, 26.46 W
2026/02/22 02:11:29.721, 26.63 W
2026/02/22 02:11:30.721, 26.84 W
2026/02/22 02:11:31.721, 26.95 W
2026/02/22 02:11:32.721, 27.05 W
2026/02/22 02:11:33.721, 26.82 W
2026/02/22 02:11:34.722, 26.32 W
2026/02/22 02:11:35.722, 26.04 W
2026/02/22 02:11:36.722, 26.21 W
2026/02/22 02:11:37.722, 26.36 W
2026/02/22 02:11:38.722, 26.55 W
2026/02/22 02:11:39.722, 26.89 W
2026/02/22 02:11:40.722, 26.86 W
2026/02/22 02:11:41.722, 26.84 W
2026/02/22 02:11:42.723, 26.89 W
2026/02/22 02:11:43.723, 26.69 W
2026/02/22 02:11:44.723, 26.68 W
2026/02/22 02:11:45.723, 27.29 W
2026/02/22 02:11:46.723, 27.14 W
2026/02/22 02:11:47.723, 26.92 W
2026/02/22 02:11:48.723, 26.69 W
2026/02/22 02:11:49.724, 26.59 W
2026/02/22 02:11:50.724, 26.71 W
2026/02/22 02:11:51.724, 26.64 W
2026/02/22 02:11:52.724, 26.57 W
2026/02/22 02:11:53.724, 26.41 W
2026/02/22 02:11:54.724, 26.13 W
2026/02/22 02:11:55.724, 26.43 W
2026/02/22 02:11:56.725, 26.78 W
2026/02/22 02:11:57.725, 26.49 W
2026/02/22 02:11:58.725, 26.52 W
2026/02/22 02:11:59.725, 26.44 W
2026/02/22 02:12:00.725, 26.45 W
2026/02/22 02:12:01.725, 26.52 W
2026/02/22 02:12:02.725, 26.98 W
2026/02/22 02:12:03.725, 27.04 W
2026/02/22 02:12:04.726, 27.01 W
2026/02/22 02:12:05.726, 26.87 W
2026/02/22 02:12:06.726, 26.89 W
2026/02/22 02:12:07.726, 26.67 W
2026/02/22 02:12:08.726, 26.80 W
2026/02/22 02:12:09.726, 26.85 W
2026/02/22 02:12:10.726, 27.07 W
2026/02/22 02:12:11.727, 27.42 W
2026/02/22 02:12:12.727, 27.57 W
2026/02/22 02:12:13.727, 27.22 W
2026/02/22 02:12:14.727, 27.25 W
2026/02/22 02:12:15.727, 27.28 W
2026/02/22 02:12:16.727, 26.74 W
2026/02/22 02:12:17.727, 26.67 W
2026/02/22 02:12:18.728, 26.64 W
2026/02/22 02:12:19.728, 26.65 W
2026/02/22 02:12:20.728, 26.89 W
2026/02/22 02:12:21.728, 26.82 W
